Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
70,0.176,2.096,0.835,0.380,1.000,23.168,24.488,15.494,16.032,2.400,3.200,23.827,15.782,2.896,23.827,15.782,2.896,0.665,0.570,0.263,-2.335,-10.682,79.669,1.167,2.525,2.163,23.901,15.592,2.400,0.081
71,0.134,1.895,1.101,0.297,0.000,16.472,17.449,8.163,9.091,2.800,3.200,16.870,8.724,3.000,16.870,8.724,3.000,0.652,0.408,0.363,35.516,1.085E-26,90.000,1.596,1.793,1.123,16.667,8.407,2.800,0.081
72,0.382,2.958,0.821,0.639,1.000,15.885,16.521,15.006,16.179,2.800,4.000,16.219,15.612,3.428,16.219,15.612,3.428,0.865,0.513,0.339,87.035,68.671,105.353,1.686,2.554,1.515,16.179,15.543,3.200,0.130
73,0.964,6.653,1.797,0.357,2.000,13.979,15.152,29.327,31.624,2.800,4.000,14.637,30.383,3.406,14.637,30.383,3.406,1.253,0.718,0.515,77.666,20.699,113.161,1.744,2.433,1.395,14.566,30.011,3.200,0.114
74,3.273,26.657,5.478,0.064,0.500,11.535,16.374,31.771,35.730,2.800,4.800,13.393,33.800,3.924,13.393,33.800,3.924,3.146,1.225,1.102,-42.586,-3.292,154.630,2.567,2.855,1.112,13.002,33.677,4.400,0.196
75,0.076,1.190,0.655,0.393,1.000,24.439,25.026,10.167,10.802,3.200,4.000,24.708,10.497,3.630,24.708,10.497,3.630,0.671,0.318,0.290,-36.450,-60.103,123.943,2.113,2.315,1.096,24.488,10.509,3.200,0.081
76,1.606,12.350,2.789,0.155,0.000,17.498,20.871,12.904,15.445,3.200,4.800,19.186,13.824,4.029,19.186,13.824,4.029,2.097,1.036,0.576,-23.495,-2.054,105.940,2.025,3.640,1.797,19.111,13.784,4.400,0.179
77,0.117,1.457,0.873,0.497,0.000,7.332,7.918,18.525,19.405,3.200,3.600,7.636,18.992,3.400,7.636,18.992,3.400,0.483,0.408,0.329,-79.249,-3.110E-25,90.000,1.184,1.467,1.240,7.527,18.720,3.200,0.081
78,0.123,1.961,1.121,0.228,0.000,40.764,41.644,20.480,21.409,3.200,3.600,41.174,20.915,3.400,41.174,20.915,3.400,0.605,0.408,0.377,51.322,3.784E-26,90.000,1.481,1.602,1.082,40.862,20.627,3.200,0.081
79,0.262,2.606,1.286,0.438,0.000,8.945,10.264,26.981,28.105,3.200,3.600,9.507,27.607,3.400,9.507,27.607,3.400,0.817,0.413,0.408,-38.084,-1.148E-26,2.425E-25,1.977,2.001,1.012,10.069,27.127,3.200,0.081
80,0.312,3.191,1.740,0.340,0.000,12.464,13.637,27.616,29.767,3.200,3.600,13.055,28.702,3.400,13.055,28.702,3.400,1.449,0.408,0.296,63.960,-7.614E-26,90.000,3.549,4.903,1.382,12.513,27.714,3.200,0.081
81,0.123,1.536,0.834,0.474,-1.000,12.171,12.757,28.936,29.767,3.200,3.600,12.438,29.323,3.400,12.438,29.323,3.400,0.518,0.408,0.330,-110.631,2.287E-25,90.000,1.268,1.567,1.236,12.317,28.985,3.200,0.081
82,1.023,8.761,1.922,0.176,1.000,12.562,13.539,29.816,32.357,3.200,4.800,13.150,30.958,4.044,13.150,30.958,4.044,1.591,0.940,0.373,81.035,-16.324,-95.017,1.693,4.269,2.522,13.099,30.304,4.400,0.130
83,0.081,1.027,0.541,0.690,0.000,13.637,14.175,31.624,32.162,3.200,3.600,13.875,31.911,3.400,13.875,31.911,3.400,0.408,0.361,0.316,-85.686,-90.000,27.175,1.131,1.291,1.142,13.686,31.673,3.200,0.081
84,0.176,2.010,1.100,0.430,-1.000,14.957,15.494,32.748,34.068,3.200,3.600,15.210,33.399,3.400,15.210,33.399,3.400,0.757,0.408,0.299,79.943,2.655E-26,90.000,1.855,2.532,1.365,15.103,32.797,3.200,0.081
85,0.681,6.765,3.218,0.170,-4.000,15.250,18.623,34.850,37.538,3.200,3.600,17.133,36.070,3.400,17.133,36.070,3.400,2.695,0.634,0.408,31.801,-1.287E-26,1.502E-25,4.254,6.602,1.552,15.348,34.899,3.200,0.081
86,0.167,2.271,0.803,0.270,0.000,21.946,22.875,40.569,41.449,3.200,4.800,22.431,41.117,4.074,22.431,41.117,4.074,1.102,0.431,0.256,-32.737,57.387,-81.448,2.556,4.305,1.684,22.777,40.666,3.200,0.081
87,0.060,0.862,0.499,0.641,0.500,21.995,22.435,8.114,8.749,3.600,4.000,22.254,8.436,3.800,22.254,8.436,3.800,0.408,0.350,0.265,-92.159,-90.000,-99.001,1.166,1.542,1.322,22.191,8.309,3.600,0.081
88,0.184,1.998,0.750,0.483,1.000,25.221,26.101,15.397,16.130,3.600,4.800,25.661,15.755,4.277,25.661,15.755,4.277,0.840,0.510,0.275,-49.548,-69.300,111.429,1.647,3.058,1.857,25.661,15.690,3.600,0.081
