
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
26676,,Surface,1,Image 1,1,Class A,1337,
20526,,Surface,1,Image 1,1,Class A,1338,
46517,,Surface,1,Image 1,1,Class A,1339,
22558,,Surface,1,Image 1,1,Class A,1340,
12677,,Surface,1,Image 1,1,Class A,1341,
13813,,Surface,1,Image 1,1,Class A,1342,
26302,,Surface,1,Image 1,1,Class A,1343,
17458,,Surface,1,Image 1,1,Class A,1344,
33206,,Surface,1,Image 1,1,Class A,1345,
14003,,Surface,1,Image 1,1,Class A,1346,
28309,,Surface,1,Image 1,1,Class A,1347,
21438,,Surface,1,Image 1,1,Class A,1348,
29834,,Surface,1,Image 1,1,Class A,1349,
38792,,Surface,1,Image 1,1,Class A,1350,
18748,,Surface,1,Image 1,1,Class A,1351,
22566,,Surface,1,Image 1,1,Class A,1352,
9154,,Surface,1,Image 1,1,Class A,1354,
15882,,Surface,1,Image 1,1,Class A,1355,
23141,,Surface,1,Image 1,1,Class A,1356,
23904,,Surface,1,Image 1,1,Class A,1357,
27525,,Surface,1,Image 1,1,Class A,1358,
39555,,Surface,1,Image 1,1,Class A,1359,
26757,,Surface,1,Image 1,1,Class A,1360,
31263,,Surface,1,Image 1,1,Class A,1361,
45496,,Surface,1,Image 1,1,Class B,1362,
15567,,Surface,1,Image 1,1,Class A,1363,
18678,,Surface,1,Image 1,1,Class A,1365,
33716,,Surface,1,Image 1,1,Class A,1366,
14916,,Surface,1,Image 1,1,Class A,1367,
27980,,Surface,1,Image 1,1,Class A,1368,
