Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
27,0.172,1.881,0.789,0.502,1.000,7.772,8.945,27.176,27.860,0,0.800,8.328,27.486,0.424,8.328,27.486,0.424,0.851,0.536,0.272,17.554,-24.759,91.974,1.588,3.124,1.967,7.918,27.372,0.000,0.098
28,0.095,1.691,0.818,0.209,1.500,42.182,43.306,27.323,28.105,0,1.200,42.655,27.768,0.297,42.655,27.768,0.297,0.830,0.582,0.181,-30.539,20.379,-83.930,1.427,4.576,3.207,42.768,27.665,0.000,0.081
29,2.595,19.414,3.116,0.104,-3.000,20.333,22.875,28.789,32.259,0,2.000,21.406,30.708,0.940,21.406,30.708,0.940,2.365,1.200,0.620,-55.471,-4.583,104.796,1.971,3.813,1.935,21.018,31.820,0.000,0.179
30,0.788,7.853,2.264,0.145,-2.000,0.978,2.786,28.398,30.549,0,1.600,1.883,29.521,0.764,1.883,29.521,0.764,1.465,0.999,0.319,45.838,-7.563,-72.475,1.467,4.595,3.133,1.124,29.131,0.000,0.081
31,0.572,4.795,1.087,0.336,-0.500,30.158,31.624,30.109,30.989,0,1.600,30.854,30.617,0.822,30.854,30.617,0.822,1.142,0.665,0.333,-11.464,-63.623,124.961,1.716,3.431,2.000,30.989,30.744,0.000,0.163
32,1.983,15.837,2.666,0.112,1.000,22.288,25.417,30.109,31.771,0,2.800,23.938,31.093,1.515,23.938,31.093,1.515,1.987,1.392,0.515,18.849,36.686,-82.696,1.428,3.858,2.701,24.781,31.184,0.000,0.163
33,0.135,1.559,0.514,0.542,-0.500,25.514,25.905,31.771,32.357,0,1.200,25.717,32.095,0.600,25.717,32.095,0.600,0.824,0.289,0.256,-77.255,81.273,97.373,2.857,3.215,1.125,25.661,32.015,0.000,0.130
34,1.124,9.044,1.961,0.193,2.000,32.651,34.312,31.477,32.993,0,2.800,33.530,32.362,1.227,33.530,32.362,1.227,1.699,0.703,0.546,-9.958,-63.430,43.986,2.418,3.113,1.287,33.188,32.162,0.000,0.163
35,1.415,10.632,1.830,0.188,1.000,18.671,20.920,32.357,34.215,0,2.400,19.717,33.284,1.211,19.717,33.284,1.211,1.617,1.066,0.372,39.933,-34.278,88.161,1.516,4.348,2.868,19.111,32.699,0.000,0.147
36,0.630,5.931,1.120,0.215,0.000,23.266,24.635,32.211,33.286,0,2.000,23.905,32.823,0.964,23.905,32.823,0.964,1.119,0.731,0.363,-9.882,-73.216,53.696,1.530,3.085,2.016,23.559,33.090,0.000,0.130
37,0.331,3.154,0.872,0.394,1.500,30.744,31.673,31.966,32.797,0,2.000,31.156,32.419,1.162,31.156,32.419,1.162,1.304,0.388,0.343,-40.691,-73.518,83.671,3.363,3.801,1.130,30.989,32.504,0.000,0.147
